¹øÈ£,»ç¾÷Àå¸í,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,ÁÂÇ¥Á¤º¸(x),ÁÂÇ¥Á¤º¸(y),lat,lng
6165,ÇÍ¾Ø ¸®ÇÁÆ®,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ½Å»çµ¿ 512-17,201755.849621677,446137.7021183,37.5173989,127.0206403
6170,Gooood Gym,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ´ëÈïµ¿ 12-27 ÀÌ´ë¿ªÇª¸£Áö¿À½ÃÆ¼,195006.913064988,450457.146504977,37.5563294,126.9442987
6171,´õÁ¶ÀºÇÇÆ¼,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ È­°îµ¿ 899-8 ÇÑ¿ï¾ÆÆÄÆ® ÁöÇÏ1Ãþ B01È£,186394.236347432,447507.871788551,37.5296698,126.8468489
6173,M2FIT,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ´ç»êµ¿3°¡ 206,190845.54658248,447236.841508798,37.5272691,126.8972885
6264,´ÙÀÌ¾Æ¸óµåÁü Çï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1678-1 ¼­ÃÊµ¿ µ¿¾Æºô¶óÆ®,201646.113320923,443661.219133169,37.4950721,127.019412
6303,Áü½ºÆäÀÌ½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ È­°îµ¿ 1060-17 ÁöÇÏ1Ãþ,186014.355926895,449014.442062397,37.5432606,126.8424889
6392,µà¾óÇÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û4°¡ 188-14 ÀÎ¼³ºôµù,199845.118189875,453344.068831649,37.58236730000001,126.999022
6393,¿¡ÀÌºíÁü ¾Ð±¸Á¤·Îµ¥¿ÀÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ½Å»çµ¿ 639-3 ±Øµ¿Gallery,203149.335106991,447362.10796179,37.5223367,127.0279427
6397,Total Strength GYM,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 139-1 ÀÌ·¹ºôµù,190017.250880558,441989.068727342,37.4799939,126.8879176
6404,ºñÆ® 16 °¡»êÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 371-17 BYC HIGHCITY,189522.336721798,441654.010373182,37.4765859,126.882841
6411,´õ Å¬·¡½Ä ¹Ùµð·¦,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ¼ö¼­µ¿ 726,209110.791493694,442771.616373056,37.4870373,127.1037563
6412,¢ß¿¡ÀÌÄ¡ºñ½ºÆ÷Ã÷¾ÆÀÌ¿£¾¾,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß±¸ À»Áö·Î4°¡ 323,199647.750199088,451566.579232622,37.5664649,126.9978028
6414,°¡º­¿öGYM,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ °¡¾çµ¿ 14-3 °¡¾ç¿ì¼º¾ÆÆÄÆ®,187048.161511426,451115.773002543,37.5620887,126.8542595
6417,¸Ó½½¿¢½ºÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­ºÏ±¸ ¼öÀ¯µ¿ 263-7 ¼ºÀººôµù,201612.150473236,460324.037639614,37.645258,127.019041
6419,(ÁÖ) ´õ·¦½ºÈÖÆ®´Ï½º ¼®ÃÌ°íºÐ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¼®ÃÌµ¿ 210 °øÀÍºôµù,208529.294612776,444440.154041662,37.5021559,127.0972931
6426,Áü¹Ú½º ½Å¸²3È£Á¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 1523-1 ÀÏ¼ºÆ®·ç¿¤ 1Ãþ,194135.772735482,440917.845099207,37.4704695,126.9343903
6429,¾î¸ÞÀÌÂ¡ ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àå¾Èµ¿ 329-3 ·¡¹Ì¾ÈÀå¾È2Â÷¾ÆÆÄÆ®,206590.046202018,452410.619464697,37.5738691,127.0752911
6432,ONE PT,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1150 ±ÝÃµ·Ôµ¥Ä³½½°ñµåÆÄÅ©2Â÷,190567.418315661,439569.401459017,37.4579752,126.8943466
6434,ÇÇµðÄÃÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹æ¹èµ¿ 17-1,199016.830094731,443663.490335992,37.495118,126.9896412
6435,Å×¶óÇÇÆ¼,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¾çÀçµ¿ 20-34 ¼º¹®ºôµù,203413.127495783,441817.504989326,37.4784823,127.0393775
6436,"¿À´Ã, ¿îµ¿",¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ÇÏ¿Õ½Ê¸®µ¿ 1066 ÅÙÁîÈú,202401.066045195,451809.190992068,37.5684705,127.0288841
6437,¿¡ÀÌÁ¦ÀÌÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹æ¹èµ¿ 866-10 ¹æ¹è ¸¶¿¡½ºÆ®·Î,198504.826881916,442641.079956283,37.4859959,126.9838729
6439,¾î½æ¾î½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ Ã»´ãµ¿ 50 ´õ¸ðÀÚÀÍ ºôµù,204330.870291344,446883.020354601,37.5241629,127.0497478
6441,VIPÇÁ¸°½ºÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 617-3 5Ãþ, ÇÁ¸°½ººôµù",192780.542992523,441230.49473065,37.4738784,126.9188113
6442,¹«ºê¶óÀÌÇÁÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 620-3 4Ãþ,192823.889799339,441125.983330772,37.4722108,126.9195936
6443,PND,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ¼º¼öµ¿1°¡ 656-1661,204224.540842831,448928.414986195,37.5425602,127.0485921
6444,ÅÍÆ²Áü(Turtle Gym),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 561-4 4Ãþ,191855.407522532,442370.449217388,37.4834321,126.9086803
6447,¼¼·»µðPT&Pilates,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¼®ÃÌµ¿ 174-10 ´öÀÏºôµù,209332.469194002,444828.291075732,37.5051835,127.1059588
6453,½Å¸²Çï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 1425-15 ¿ìÀåºôµù 4Ãþ,193689.01408168,442736.890384652,37.4868215,126.9294487
6458,´õÅ·ÇÇÆ®´Ï½º 2È£Á¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¾çÆòµ¿4°¡ 64-4,190825.994376401,448191.347586673,37.5358937,126.8968877
6471,COGIT(ÄÚÁöÆ®),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »ïÃ»µ¿ 157-78,198135.237860864,453525.282135033,37.5839883,126.9796541
6475,µð¿¡½ºµð¿¤(ÁÖ) ÇÁ·¹ÀÌÀúÇÃ·¹ÀÌ½º ¼¾Æ®·² È£ÅÚ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß±¸ ¼øÈ­µ¿ 214 ÇÁ·¹ÀÌÀúÇÃ·¹ÀÌ½º¼¾Æ®·²¼­¿ï,197268.885433824,451148.620978965,37.56255489999999,126.9697425
6479,¹Ùµð ¸Å´ÏÁö¸ÕÆ®,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¼®ÃÌµ¿ 276-7 3Ãþ,209501.152863225,444340.701119379,37.5012141,127.1082216
6480,¿¥ºêÀÌ¿¥ °Å¿©¿ªÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ °Å¿©µ¿ 290-2 2Ãþ,212697.379547936,443108.923321935,37.4900541,127.1443536
6481,¸®Ä¿¹ö¸®PT½ºÆ©µð¿À,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ¿¬Èñµ¿ 188-16,193663.262605144,451536.446012432,37.5660327,126.9290228
6483,shut up and squat,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ ¿Á¼öµ¿ 262-1,201110.397044663,448968.795348812,37.5430298,127.0133661
6489,»ç¶÷ÈÖÆ®´Ï½º ¿Ã·¹½ÃÀåÁ¡,¿µ¾÷/Á¤»ó,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼­±Íµ¿ 257-2 ¼­¿ïÁ¤Çü¿Ü°úÀÇ¿ø,159471.109671,-27285.5845887,33.2491506,126.5075751
6490,ºêÀÌ¿¥ÈÖÆ®´Ï½º Ã»·®¸®Á¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àü³óµ¿ 622-1,203757.008715438,452923.162315716,37.5785148,127.04339
6492,ÀÌ³Ê¶óÀÎGYM ¿ù°îÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ººÏ±¸ »ó¿ù°îµ¿ 57-3,203925.081124418,455959.923991986,37.605929,127.0451954
6493,³ë¹ÙµðÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ººÏ±¸ µ¿¼Ò¹®µ¿5°¡ 67-1 °­À±ºôµù,201297.061240598,454428.857552394,37.5922191,127.0154
6498,´õ ½´Æ®(The SUIT),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 1517-21,194394.556510943,440877.087548044,37.4699547,126.937394
6501,4 in 1 PT,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¸·Î±¸ °íÃ´µ¿ 195-13 Á¾¸¸ºôµù,187399.697268421,444855.737125874,37.5057472,126.8582376
6502,THE JUNG FIT,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¼ÛÆÄµ¿ 10-7 Æ¼¿¡½ºÆ¼ºôµù,209331.085732361,445156.584105605,37.508537,127.1063225
6512,ÇÏÀÌ ÇÇÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ Àá½Çµ¿ 294-32 HÅ¸¿ö ÁöÇÏ1Ãþ,207093.103089391,444877.208640283,37.50605669999999,127.0809985
6513,Çï¸®¿À GYM,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ °¡¶ôµ¿ 913 Çï¸®¿À½ÃÆ¼,209416.469960121,444027.495849445,37.4976932,127.1066824
6518,¼Ò¿ïÇÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àå¾Èµ¿ 431-3,205743.422814839,451284.080255576,37.5637881,127.0657695
